sep=;
Test Index;Monster Tier;Party config;Party Strength;Max HP lost;HP lost;Ranger killed;Cleric killed;Knight killed;Ranger attack;Ranger HP;Ranger Max HP lost;Ranger HP lost;Cleric attack;Cleric HP;Cleric Max HP lost;Cleric HP lost;Knight attack;Knight HP;Knight Max HP lost;Knight HP lost;Minion Count;Brute Count;Brute elite Count;Brute boss Count;Leader Count;Leader elite Count;Leader boss Count;Lurker Count;Lurker elite Count;Lurker boss Count;Sniper Count;Sniper elite  Count;Sniper boss Count
0;1;No powerups;4860;1;1.392157;1;0;0;30;20;1;1;10;51;0;0.3921569;15;250;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1;1;Ranger Powerups only 1;9670;0;0.1818182;0;0;0;66;110;0;0.1818182;10;115;0;0;15;84;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
2;1;Cleric Powerups only 1;7418;0;0.7142857;0;0;0;30;28;0;0.7142857;22;179;0;0;15;176;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
3;1;Knight Powerups only 1;7484;0;0;0;0;0;30;29;0;0;10;92;0;0;39;146;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
4;1;Balanced provider tier 1;11776;0;0.8140602;0;0;0;42;65;0;0.6153846;14;150;0;0;23;302;0;0.1986755;0;0;0;0;0;0;0;0;0;0;2;0;0
5;1;Random provider tier 1;3955;1;1.731707;1;0;0;66;5;1;1;15;105;0;0;10;205;0;0.7317073;0;0;0;0;0;0;0;0;1;0;0;0;0
6;1;Ranger Powerups only 2;21100;0;0.1176471;0;0;0;102;170;0;0.1176471;10;112;0;0;15;176;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
7;1;Cleric Powerups only 2;13440;0;0.1693405;0;0;0;30;49;0;0;34;255;0;0.07843138;15;220;0;0.09090909;0;1;0;0;0;0;0;0;0;0;1;0;0
8;1;Knight Powerups only 2;34773;0;0.5714286;0;0;0;30;35;0;0.5714286;10;27;0;0;63;531;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
9;1;Balanced provider tier 2;10781;0;0.02890173;0;0;0;54;56;0;0;18;133;0;0;31;173;0;0.02890173;0;1;0;0;0;0;0;0;0;0;1;0;0
10;1;Random provider tier 2;19030;0;0.2857143;0;0;0;30;70;0;0.2857143;31;370;0;0;26;210;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
11;1;Ranger Powerups only 3;8729;0;0;0;0;0;138;58;0;0;10;41;0;0;15;21;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
12;1;Cleric Powerups only 3;22500;0;0.7610933;0;0;0;30;43;0;0.4651163;46;435;0;0.04597701;15;80;0;0.25;4;0;0;0;0;0;0;0;0;0;1;0;0
13;1;Knight Powerups only 3;60617;1;1;1;0;0;30;4;1;1;10;125;0;0;87;681;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
14;1;Balanced provider tier 3;13854;0;0.1923077;0;0;0;66;16;0;0;22;213;0;0;39;208;0;0.1923077;8;0;0;0;0;0;0;0;0;0;0;0;0
15;1;Random provider tier 3;12727;0;0.1818182;0;0;0;54;110;0;0.1818182;31;127;0;0;30;95;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
16;1;Ranger Powerups only 4;26150;0;0.28;0;0;0;174;140;0;0;10;125;0;0.28;15;36;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
